Pyranine in 1-butanol 4th run 5 more minutes of sonication,,Pyranine in 1-butanol 5th run 10 more min sonication (20 total),,Pyranine in 1-butanol 5th rerun 10 more min sonication (20 total),,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
520.5883789,0.02798225544,520.5883789,0.02932924777,520.5883789,0.02879747748,
520.399231,0.02801348269,520.399231,0.02920267358,520.399231,0.0287316516,
520.2099609,0.02808466926,520.2099609,0.0292729754,520.2099609,0.02878469974,
519.9829712,0.02799976058,519.9829712,0.02925461717,519.9829712,0.02872343734,
519.7937622,0.02808679454,519.7937622,0.02919962816,519.7937622,0.02882021666,
519.6045532,0.02803860791,519.6045532,0.02920322679,519.6045532,0.02877571061,
519.4153442,0.02800773829,519.4153442,0.02926724404,519.4153442,0.02872589789,
519.1882935,0.0279807914,519.1882935,0.02928441204,519.1882935,0.0288283769,
518.9990845,0.02795718797,518.9990845,0.02942170203,518.9990845,0.02882248349,
518.8098755,0.02795127966,518.8098755,0.02951977216,518.8098755,0.02896073461,
518.5827637,0.02788892016,518.5827637,0.02970040217,518.5827637,0.02891051397,
518.3934937,0.02791550197,518.3934937,0.02973388694,518.3934937,0.02889947407,
518.2042236,0.02783302777,518.2042236,0.02975792065,518.2042236,0.02896751277,
518.0149536,0.02780987322,518.0149536,0.02978489548,518.0149536,0.02904726937,
517.7878418,0.02785877883,517.7878418,0.02974386513,517.7878418,0.02909819782,
517.5985718,0.02780852094,517.5985718,0.02969771251,517.5985718,0.02897296473,
517.4092407,0.02777087875,517.4092407,0.02972576395,517.4092407,0.02890962921,
517.1821289,0.02768782526,517.1821289,0.0296894256,517.1821289,0.02889275178,
516.9927368,0.02759237401,516.9927368,0.02961453795,516.9927368,0.0288809929,
516.8034668,0.02772430144,516.8034668,0.02968327142,516.8034668,0.02890345827,
516.6141357,0.02760133892,516.6141357,0.02969133668,516.6141357,0.02890229784,
516.3869629,0.02761504799,516.3869629,0.02962537482,516.3869629,0.02895154804,
516.1975708,0.02752730809,516.1975708,0.02952395566,516.1975708,0.02893212251,
516.0082397,0.02748365141,516.0082397,0.02954750694,516.0082397,0.0288803298,
515.7810059,0.02749655768,515.7810059,0.02963995188,515.7810059,0.02880898491,
515.5916748,0.02739557996,515.5916748,0.02965475246,515.5916748,0.02897941321,
515.4022217,0.02734860033,515.4022217,0.0296903681,515.4022217,0.02890705504,
515.2128906,0.02731400356,515.2128906,0.02985642664,515.2128906,0.02896834351,
514.9855957,0.02726300806,514.9855957,0.0299417004,514.9855957,0.02903774939,
514.7962646,0.02706787921,514.7962646,0.02993482165,514.7962646,0.02897025272,
514.6068726,0.02707237005,514.6068726,0.02999492362,514.6068726,0.02898898721,
514.3795166,0.02703952976,514.3795166,0.02997090481,514.3795166,0.02899764851,
514.1900635,0.02690896764,514.1900635,0.0298593659,514.1900635,0.02887919545,
514.0006104,0.02693929151,514.0006104,0.02984223142,514.0006104,0.02895533852,
513.8112183,0.02684785984,513.8112183,0.02981627919,513.8112183,0.02887839265,
513.5838623,0.02673566155,513.5838623,0.02995881252,513.5838623,0.02892894112,
513.3944092,0.02668357827,513.3944092,0.02998643555,513.3944092,0.02893370017,
513.204895,0.02668726817,513.204895,0.03010924347,513.204895,0.02892711572,
513.0155029,0.02665759437,513.0155029,0.03023521975,513.0155029,0.02900260314,
