Baseline 100%T,,Pyranine in 10M water in 70:30 1-butanol:acetonitrile,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
525.4104614,0.03126382828,525.4104614,0.003272924107,
525.1836548,0.0313372761,525.1836548,0.003304927843,
524.9946899,0.03143458441,524.9946899,0.003373637563,
524.8056641,0.03148952127,524.8056641,0.003448959673,
524.6166382,0.03158460557,524.6166382,0.003455195809,
524.3898926,0.03166298196,524.3898926,0.003482907312,
524.2008667,0.0317398645,524.2008667,0.003628042527,
524.0119019,0.03187829256,524.0119019,0.003616974922,
523.7850342,0.03191659972,523.7850342,0.003643339267,
523.5960083,0.03200316802,523.5960083,0.003671114799,
523.4069214,0.03209608421,523.4069214,0.003712781472,
523.1801147,0.03214474767,523.1801147,0.003812526353,
522.9910278,0.0322868228,522.9910278,0.00391798839,
522.8019409,0.03233475611,522.8019409,0.004039413761,
522.612854,0.03240074217,522.612854,0.004173679277,
522.3859253,0.03258282319,522.3859253,0.004205540288,
522.1968994,0.03269922361,522.1968994,0.004322130699,
522.0078125,0.03271479532,522.0078125,0.004468540661,
521.7808228,0.03285110742,521.7808228,0.004552030936,
521.5917358,0.03295819461,521.5917358,0.004546407145,
521.4025879,0.03299324587,521.4025879,0.004714324139,
521.213501,0.03315236047,521.213501,0.004691087175,
520.9865112,0.03330565989,520.9865112,0.004655239638,
520.7973633,0.03346922249,520.7973633,0.004618950188,
520.6081543,0.03352769092,520.6081543,0.004689961672,
520.3811646,0.03364688903,520.3811646,0.004626615904,
520.1920166,0.03378556296,520.1920166,0.004470345099,
520.0028076,0.03384298086,520.0028076,0.004176057875,
519.8135986,0.03399762139,519.8135986,0.003855982563,
519.5865479,0.03412795067,519.5865479,0.003837962402,
519.3973389,0.03419037163,519.3973389,0.004132386297,
519.2081299,0.03429134563,519.2081299,0.00438765483,
518.9810791,0.03446264938,518.9810791,0.004563645925,
518.7918701,0.03465081379,518.7918701,0.004754363559,
518.6025391,0.03468611464,518.6025391,0.005032911431,
518.4133911,0.03483381495,518.4133911,0.005120229907,
518.1862183,0.03504366428,518.1862183,0.005190852098,
517.9970093,0.03509917483,517.9970093,0.005373877939,
517.8077393,0.03519117832,517.8077393,0.005416337401,
517.5805664,0.03532675654,517.5805664,0.005588970147,
517.3912964,0.03539372981,517.3912964,0.005666880403,
517.2019653,0.03557044268,517.2019653,0.005650384817,
517.0126953,0.03564728796,517.0126953,0.005546336528,
516.7854614,0.03581525013,516.7854614,0.005153731909,
516.5961304,0.03591272235,516.5961304,0.004945008084,
516.4067993,0.03591162711,516.4067993,0.004985540174,
516.1796265,0.03604239225,516.1796265,0.004909663461,
515.9902344,0.03618982434,515.9902344,0.004889007658,
515.8009033,0.03634366766,515.8009033,0.005023588426,
515.6115112,0.03643315285,515.6115112,0.005117270164,
515.3842773,0.03654501215,515.3842773,0.005120570306,
515.1948853,0.03660924733,515.1948853,0.005221948959,
515.0055542,0.0367108956,515.0055542,0.005231721327,
514.8161011,0.03689783812,514.8161011,0.00527649885,
514.5888062,0.03706121072,514.5888062,0.005299479235,
514.399353,0.03719037771,514.399353,0.005371283274,
514.2099609,0.03733693063,514.2099609,0.005397046916,
513.982666,0.03753797337,513.982666,0.005312948022,
513.7932129,0.03777194768,513.7932129,0.005096735433,
513.6038208,0.03796118498,513.6038208,0.00481100101,
513.4143066,0.03819504753,513.4143066,0.004469246604,
513.1869507,0.03833645582,513.1869507,0.004222843796,
512.9974976,0.03845231235,512.9974976,0.003958973568,
512.8080444,0.0384779945,512.8080444,0.003904902143,
512.5806274,0.03844928741,512.5806274,0.003946068697,
512.3911743,0.03841501102,512.3911743,0.004019766115,
512.2016602,0.03843268752,512.2016602,0.004015272018,
512.012085,0.03839784488,512.012085,0.004123919178,
511.784668,0.03841851652,511.784668,0.004066848662,
511.5951538,0.03846656904,511.5951538,0.004011640791,
511.4055786,0.03858503327,511.4055786,0.003885835176,
511.2161255,0.03868061304,511.2161255,0.003873559413,
510.9886169,0.03875603154,510.9886169,0.003895081114,
510.7990417,0.03893978149,510.7990417,0.003773931181,
510.609436,0.03889521584,510.609436,0.003899416886,
510.3819885,0.03903727606,510.3819885,0.003816182259,
510.1923828,0.03911952674,510.1923828,0.003845353145,
510.0028076,0.03930626437,510.0028076,0.003740457119,
