pyranine in water, sample prepared on Jan-24th,,pyranine in 1-butanol, sample prepared on Jan-24th, 2nd run,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
518.3831177,0.001211027615,518.3831177,0.001203058404,
518.1938477,0.001251394511,518.1938477,0.001223617466,
518.0046387,0.001249525347,518.0046387,0.001188158989,
517.8153687,0.001242749742,517.8153687,0.001157530933,
517.5883179,0.001266452018,517.5883179,0.001190131647,
517.3989868,0.001224941458,517.3989868,0.001222397434,
517.2097168,0.001286468818,517.2097168,0.001164409099,
516.9825439,0.001218243968,516.9825439,0.001186964917,
516.7932739,0.001168328337,516.7932739,0.001130304881,
516.6040039,0.001221540733,516.6040039,0.001165525173,
516.4146729,0.001269878936,516.4146729,0.001180787222,
516.1875,0.001197607373,516.1875,0.001127579832,
515.9981689,0.001304669073,515.9981689,0.001249499386,
515.8088379,0.001259702025,515.8088379,0.001221930142,
515.581604,0.001275772229,515.581604,0.001235610689,
515.3922729,0.001198827405,515.3922729,0.001231820672,
515.2029419,0.001180501771,515.2029419,0.001225486514,
515.0134888,0.001311705331,515.0134888,0.001238518278,
514.786377,0.001277615549,514.786377,0.001150341472,
514.5969238,0.001230808208,514.5969238,0.001204148633,
514.4075317,0.001274604001,514.4075317,0.001194933779,
514.1802368,0.001338890754,514.1802368,0.001228991081,
513.9908447,0.001296698232,513.9908447,0.001235428965,
513.8014526,0.001281432109,513.8014526,0.001193791628,
513.6119995,0.001203577616,513.6119995,0.001099084038,
513.3847046,0.001317625283,513.3847046,0.001230003429,
513.1952515,0.001109906007,513.1952515,0.001159866923,
513.0058594,0.001187743619,513.0058594,0.001152002485,
512.8163452,0.001208327943,512.8163452,0.001248175395,
512.5890503,0.00121305231,512.5890503,0.001183019485,
512.3995361,0.001272345311,512.3995361,0.001200514613,
512.210022,0.001247214852,512.210022,0.001214973279,
511.982666,0.001183953951,511.982666,0.001140894019,
511.7931519,0.001212039962,511.7931519,0.001212247647,
511.6036682,0.001211235183,511.6036682,0.001184966299,
511.4141541,0.001199787832,511.4141541,0.001201267354,
511.1867065,0.001239063335,511.1867065,0.00113095378,
510.9971924,0.001158984378,510.9971924,0.001123012044,
510.8076172,0.001211442868,510.8076172,0.001207185793,
510.5802307,0.001294543268,510.5802307,0.001176789985,
510.3905945,0.001322818222,510.3905945,0.001213623444,
510.2010803,0.001265283674,510.2010803,0.001187925343,
510.0115356,0.001236337586,510.0115356,0.001231794711,
509.7840271,0.001235714532,509.7840271,0.001142944442,
509.5944519,0.001295841415,509.5944519,0.001260247198,
509.4048462,0.001297243522,509.4048462,0.001247682143,
509.2152405,0.001237376011,509.2152405,0.001198931248,
508.9876709,0.001221203362,508.9876709,0.001154182712,
508.7980957,0.001284599537,508.7980957,0.001228212263,
508.60849,0.001178529114,508.60849,0.001162202796,
508.3808899,0.001269775094,508.3808899,0.001189742354,
508.1912842,0.001211780356,508.1912842,0.001180346007,
508.0015869,0.001306927996,508.0015869,0.001103651593,
507.8119507,0.001154857571,507.8119507,0.001156025566,
507.5843506,0.001187354326,507.5843506,0.001132640755,
507.3946533,0.001262713573,507.3946533,0.001188262831,
507.2049866,0.001243943931,507.2049866,0.001188833849,
507.0152588,0.001252978109,507.0152588,0.001179255778,
506.7876892,0.001191299758,506.7876892,0.001162150991,
506.5979004,0.00116983382,506.5979004,0.00114574749,
506.4082642,0.001189872157,506.4082642,0.001130434684,
506.1805725,0.001263258746,506.1805725,0.001187380287,
505.9908752,0.001189664472,505.9908752,0.001156907994,
505.8010864,0.001161086722,505.8010864,0.001080840477,
