Pyranine in acetonitrile 1st run,,Pyranine in acetonitrile 2nd run 5 min sonication,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
541.9888306,0.01496579032,541.9888306,0.03150257468,
541.8005371,0.01486677304,541.8005371,0.03265077248,
541.6123047,0.01482327189,541.6123047,0.03285538033,
541.3863525,0.01463841647,541.3863525,0.03238958493,
541.1980591,0.01449204423,541.1980591,0.03207947314,
541.0097656,0.01436538715,541.0097656,0.03185196966,
540.7837524,0.01432814356,540.7837524,0.03173409775,
540.595459,0.01414307021,540.595459,0.0317228213,
540.4071655,0.0141087072,540.4071655,0.03234635666,
540.1810913,0.01411793288,540.1810913,0.03289807215,
539.9928589,0.01418519206,539.9928589,0.0326404199,
539.8044434,0.01428793371,539.8044434,0.03217452019,
539.6160889,0.01444496866,539.6160889,0.03185077012,
539.3900146,0.01456230599,539.3900146,0.03163107112,
539.2017212,0.01464486867,539.2017212,0.0314348042,
539.0133057,0.01468532532,539.0133057,0.03112070076,
538.7872314,0.01472974941,538.7872314,0.03095535189,
538.5988159,0.0148229776,538.5988159,0.03156105801,
538.4104004,0.01494092681,538.4104004,0.03206486627,
538.1843262,0.01487491652,538.1843262,0.03196766973,
537.9958496,0.01487459429,537.9958496,0.03160362318,
537.8074341,0.01477929391,537.8074341,0.03151003271,
537.5812988,0.01457823347,537.5812988,0.03126775101,
537.3928223,0.01445596758,537.3928223,0.03069898672,
537.2044067,0.01425561868,537.2044067,0.03063462116,
537.0159302,0.01400804054,537.0159302,0.03097522818,
536.7897339,0.01378144417,536.7897339,0.03111018799,
536.6012573,0.01378574595,536.6012573,0.03105632775,
536.4127197,0.01367144939,536.4127197,0.03123495542,
536.1865234,0.01380856615,536.1865234,0.03183717653,
535.9980469,0.01375704911,535.9980469,0.03204312921,
535.8095093,0.01370633859,535.8095093,0.03180759773,
535.583252,0.0137157701,535.583252,0.03131952509,
535.3947754,0.01364609879,535.3947754,0.0312358737,
535.2061768,0.01366191264,535.2061768,0.03141126409,
535.0176392,0.01367708575,535.0176392,0.03110332042,
534.7913208,0.0138982283,534.7913208,0.03077406064,
534.6027832,0.01396983862,534.6027832,0.03071812913,
534.4141846,0.01412841585,534.4141846,0.03053632565,
534.1879272,0.01415432896,534.1879272,0.03025958687,
533.9993286,0.01414462179,533.9993286,0.03039376996,
533.8106689,0.01409809105,533.8106689,0.03117498755,
533.5843506,0.01394139603,533.5843506,0.03161266819,
533.395752,0.01387142111,533.395752,0.03170313314,
533.2070923,0.01373457815,533.2070923,0.03161322698,
532.9807739,0.01377040893,532.9807739,0.03198162839,
