Pyranine in 1-butanol,,
Wavelength (nm),Intensity (a.u.),
411.0599976,62.53857803,
411.2099915,63.76831818,
411.3599854,64.74852753,
411.6600037,66.30963898,
411.8099976,69.16273499,
411.9599915,71.945961,
412.269989,75.6927948,
412.4200134,77.02693939,
412.5700073,77.45280457,
412.7200012,79.12683868,
413.0299988,82.39441681,
413.1799927,85.5381012,
413.3299866,86.26714325,
413.6300049,89.60993958,
413.7799988,90.19517517,
413.9299927,92.15898132,
414.2399902,95.1582489,
414.3900146,96.71763611,
414.5400085,98.8345871,
414.8399963,102.1173401,
415,102.6166,
415.1499939,104.0480881,
415.4500122,107.0913162,
415.6000061,109.9036331,
415.75,111.7206421,
416.0599976,113.7065887,
416.2099915,115.3103561,
416.3599854,116.3844299,
416.6600037,118.4494858,
416.8099976,120.3393478,
416.9599915,122.961441,
417.269989,124.407692,
417.4200134,124.5998688,
417.5700073,125.779274,
417.7200012,126.7050323,
418.0299988,130.0503387,
418.1799927,130.6421204,
418.3299866,132.1603546,
418.6300049,132.3570709,
418.7799988,133.9508667,
418.9299927,134.1860657,
419.2399902,136.1999512,
419.3900146,137.7348633,
419.5400085,139.0222015,
419.8399963,138.490097,
420,139.4405365,
420.1499939,139.780426,
420.4500122,141.3912811,
420.6000061,142.0699615,
420.75,142.39151,
421.0599976,143.4486389,
421.2099915,143.1598663,
421.3599854,143.8981323,
421.6600037,143.7797394,
421.8099976,145.5391083,
421.9599915,144.4313507,
422.269989,143.8307343,
422.4200134,145.1132507,
422.5700073,145.3009491,
422.7200012,145.2197266,
423.0299988,145.1620483,
423.1799927,146.6007385,
423.3299866,145.8369904,
423.6300049,145.2550659,
423.7799988,144.9312286,
423.9299927,145.5772247,
424.2399902,143.9211731,
424.3900146,144.8782654,
424.5400085,143.7840729,
424.8399963,144.1442719,
425,144.4188843,
425.1499939,144.2081451,
425.4500122,142.3796844,
425.6000061,142.9397125,
425.75,142.3590851,
426.0599976,141.5821075,
426.2099915,142.5368958,
426.3599854,141.570343,
426.6600037,139.6098785,
426.8099976,139.7740021,
426.9599915,139.5442657,
427.269989,138.7917175,
427.4200134,139.010376,
427.5700073,138.3393707,
427.7200012,136.8726654,
428.0299988,136.5216827,
428.1799927,136.8428497,
428.3299866,136.1972351,
428.6300049,135.5552979,
428.7799988,135.0041962,
428.9299927,134.1672821,
429.2399902,132.7964783,
429.3900146,133.112793,
429.5400085,132.3267822,
429.8399963,131.8301086,
430,132.216568,
430.1499939,132.1253204,
430.4500122,130.4462433,
430.6000061,129.4785004,
430.75,130.1684723,
431.0599976,129.6396484,
431.2099915,128.1285858,
431.3599854,128.6700592,
431.6600037,127.094017,
431.8099976,127.467392,
431.9599915,127.1461563,
432.269989,126.9590988,
432.4200134,126.9792786,
432.5700073,126.552803,
432.7200012,125.128418,
433.0299988,125.7735367,
433.1799927,125.7262115,
433.3299866,125.2230835,
433.6300049,124.3350906,
433.7799988,125.2200012,
433.9299927,124.7379532,
434.2399902,123.4938049,
434.3900146,123.4554596,
434.5400085,123.264801,
434.8399963,123.2789993,
435,123.5057526,
435.1499939,122.6158905,
435.4500122,122.6396179,
435.6000061,122.1590729,
435.75,122.0277023,
436.0599976,122.0756302,
436.2099915,122.0776749,
436.3599854,121.2201767,
436.6600037,121.5556259,
436.8099976,121.72966,
436.9599915,120.6587677,
437.269989,121.3318024,
437.4200134,120.1002274,
437.5700073,121.1871185,
437.7200012,120.4715652,
438.0299988,119.5576324,
438.1799927,119.3846283,
438.3299866,120.0140305,
438.6300049,119.7364197,
438.7799988,119.4837875,
438.9299927,119.5670166,
439.2399902,119.2363968,
439.3900146,118.9491425,
439.5400085,117.951767,
439.8399963,117.8529587,
440,118.2843857,
440.1400146,118.3581696,
440.4400024,117.0976181,
440.5899963,117.7333984,
440.7399902,118.6924896,
441.0400085,117.4383621,
441.1900024,116.8346939,
441.3399963,116.6056976,
441.6400146,115.9137344,
441.7900085,117.0688782,
441.9400024,115.307663,
442.230011,116.351799,
442.3800049,115.0104218,
442.5299988,115.4608078,
442.8299866,115.5694122,
442.980011,114.8271484,
443.1300049,114.5639954,
443.4299927,114.3137741,
443.5799866,113.1780777,
443.730011,113.3985977,
444.019989,111.965477,
444.1700134,111.8514404,
444.3200073,111.3553772,
444.6199951,111.3410187,
444.769989,110.8233337,
445.0700073,109.7321625,
445.2200012,109.967514,
445.3699951,110.6011581,
445.6700134,109.689415,
445.8200073,109.1935196,
445.9700012,107.7679596,
446.2600098,107.6620407,
446.4100037,107.1122284,
446.5599976,106.7144394,
446.7099915,107.3207703,
447.0100098,105.787117,
447.1600037,104.7189636,
447.4599915,104.6033707,
447.6099854,103.517662,
447.7600098,104.9297714,
448.0499878,104.6483765,
448.2000122,102.7998657,
448.3500061,101.065918,
448.6499939,101.5822601,
448.7999878,100.6415176,
448.9500122,100.3917847,
449.25,100.1905289,
449.3999939,99.48083496,
449.5499878,98.54990387,
449.8500061,97.65306854,
450,96.2780838,
450.1499939,96.49268341,
450.4500122,96.07937622,
450.6000061,95.44412231,
450.75,94.37537384,
451.0599976,94.21893311,
451.2099915,93.15326691,
451.3599854,92.29035187,
451.6600037,90.99495697,
451.8099976,92.12189484,
451.9599915,90.2826004,
452.269989,89.82480621,
452.4200134,88.85853577,
452.5700073,89.25111389,
452.7200012,87.89394379,
453.0299988,88.43783569,
453.1799927,86.74931335,
453.3299866,86.04749298,
453.6300049,85.42697906,
453.7799988,84.72315216,
453.9299927,84.77680969,
454.2399902,83.58415985,
454.3900146,82.03543854,
454.5400085,81.61828613,
454.8399963,81.45509338,
455,80.15122223,
455.1499939,80.40713501,
455.4500122,79.39614868,
455.6000061,78.47808838,
455.75,78.01716614,
456.0599976,77.78277588,
456.2099915,77.15904999,
456.3599854,77.19371033,
456.6600037,75.8539505,
456.8099976,75.6074295,
456.9599915,74.62419128,
457.269989,74.05226898,
457.4200134,73.47724915,
457.5700073,73.29730988,
457.7200012,72.4611969,
458.0299988,71.9498291,
458.1799927,71.43750763,
458.3299866,70.68721771,
458.6300049,69.65656281,
458.7799988,70.32369995,
458.9299927,69.65444946,
459.2399902,68.62541962,
459.3900146,68.19890594,
459.5400085,68.15071106,
459.8399963,67.22673035,
460,66.625,
460.1400146,66.31476593,
460.4400024,65.41347504,
460.5899963,64.64617157,
460.7399902,64.65503693,
461.0400085,64.46583557,
461.1900024,63.50771332,
461.3399963,63.38732529,
