Pyranine in Acetonitrile,,Pyranine in Acetonitrile,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
399.2399902,49.60416794,399.2399902,488.7843628,
399.3900146,50.54440689,399.3900146,495.6428833,
399.5400085,51.58283615,399.5400085,506.6416321,
399.8399963,54.66343689,399.8399963,531.9262695,
400,56.15415573,400,546.6340942,
400.1499939,57.23452759,400.1499939,555.807312,
400.4500122,59.67004776,400.4500122,572.7138672,
400.6000061,60.04288483,400.6000061,581.4970093,
400.75,60.30189896,400.75,588.6309204,
401.0599976,63.49972534,401.0599976,610.1479492,
401.2099915,64.3813858,401.2099915,623.2282715,
401.3599854,64.912323,401.3599854,630.9953613,
401.6600037,66.82646179,401.6600037,640.5441895,
401.8099976,66.65629578,401.8099976,645.0161743,
401.9599915,68.25158691,401.9599915,652.1314087,
402.269989,69.00823975,402.269989,665.2249146,
402.4200134,70.56463623,402.4200134,669.5112305,
402.5700073,70.31564331,402.5700073,674.755127,
402.7200012,71.06903076,402.7200012,678.0465698,
403.0299988,71.08464813,403.0299988,681.7582397,
403.1799927,71.82798004,403.1799927,682.2609863,
403.3299866,71.55148315,403.3299866,687.890564,
403.6300049,72.51980591,403.6300049,692.2752686,
403.7799988,72.23970795,403.7799988,692.5838623,
403.9299927,72.43666077,403.9299927,692.5408936,
404.2399902,72.39241791,404.2399902,693.0594482,
404.3900146,72.5796051,404.3900146,693.4303589,
404.5400085,72.23396301,404.5400085,692.718689,
404.8399963,72.1092453,404.8399963,691.6265259,
405,71.3393631,405,688.5450439,
405.1499939,71.89907074,405.1499939,687.7662964,
405.4500122,70.68328857,405.4500122,682.9732056,
405.6000061,70.52024078,405.6000061,680.9380493,
405.75,70.87696075,405.75,677.5368042,
406.0599976,70.2077713,406.0599976,669.010437,
406.2099915,69.37130737,406.2099915,663.2247314,
406.3599854,69.89033508,406.3599854,661.5493774,
406.6600037,68.52490234,406.6600037,655.9905396,
406.8099976,68.49705505,406.8099976,655.524292,
406.9599915,68.18621063,406.9599915,650.097229,
407.269989,66.5243988,407.269989,637.2523804,
407.4200134,66.53709412,407.4200134,632.1647339,
407.5700073,66.51129913,407.5700073,626.5369263,
407.7200012,65.73421478,407.7200012,625.1558228,
408.0299988,65.60633087,408.0299988,620.8557129,
408.1799927,63.42149353,408.1799927,611.1641235,
408.3299866,64.1574707,408.3299866,607.5422974,
408.6300049,62.39914703,408.6300049,593.4993896,
408.7799988,62.35607147,408.7799988,589.6396484,
408.9299927,61.11304474,408.9299927,587.8669434,
409.2399902,60.37140656,409.2399902,579.9344482,
409.3900146,59.7409935,409.3900146,573.1815796,
409.5400085,59.64643478,409.5400085,568.2774658,
409.8399963,58.72907257,409.8399963,557.7039795,
410,57.86962891,410,550.0230103,
410.1499939,57.04065704,410.1499939,547.0120239,
410.4500122,57.013237,410.4500122,538.8383789,
410.6000061,56.40481949,410.6000061,533.0793457,
410.75,54.96459579,410.75,528.5065308,
411.0599976,54.53376389,411.0599976,511.3189087,
411.2099915,53.08535004,411.2099915,511.1402893,
411.3599854,53.60186768,411.3599854,508.446991,
411.6600037,52.31401443,411.6600037,497.229187,
411.8099976,52.22960663,411.8099976,493.7624817,
411.9599915,50.48473358,411.9599915,488.6983948,
412.269989,49.34624481,412.269989,476.0137939,
