Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in acetonitrile,,Pyranine in Water,,Pyranine in Water,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
,,455,21.66137695,455,205.3427429,395,7.240935802,395,195.6448669,395,24.65702057,395,2.696013451,
,,456.0599976,21.16147232,456.0599976,197.7223358,395.1499939,7.09680748,395.1499939,215.3248749,395.1499939,24.73974991,395.1499939,2.526592493,
,,456.9599915,20.27959061,456.9599915,189.4608154,395.4500122,7.416368961,395.4500122,238.2384949,395.4500122,23.99973106,395.4500122,2.528381824,
,,458.0299988,19.4156971,458.0299988,183.4806976,395.6000061,7.485569954,395.6000061,247.3353577,395.6000061,24.03211594,395.6000061,2.540268183,
,,458.9299927,18.61094856,458.9299927,176.7460632,395.75,7.58306694,395.75,258.1210632,395.75,24.04340172,395.75,2.581463337,
,,460,17.8196125,460,169.1925659,396.0599976,7.694871426,396.0599976,282.8056641,396.0599976,23.76272392,396.0599976,2.646567106,
,,461.0400085,16.94839859,461.0400085,163.3061829,396.2099915,7.839934826,396.2099915,300.5145874,396.2099915,23.56760597,396.2099915,2.522891521,
,,461.9400024,16.81656456,461.9400024,157.7410278,396.3599854,8.173851013,396.3599854,326.6641541,396.3599854,23.64740944,396.3599854,2.696296692,
,,462.980011,15.92434406,462.980011,151.2496796,396.6600037,8.334953308,396.6600037,353.6213989,396.6600037,23.1961174,396.6600037,2.41913414,
,,464.019989,15.59974003,464.019989,145.5115509,396.8099976,8.479232788,396.8099976,365.4830933,396.8099976,23.68136978,396.8099976,2.517508984,
,,465.0700073,14.90708733,465.0700073,141.2668457,396.9599915,8.720762253,396.9599915,378.6054382,396.9599915,23.58356094,396.9599915,2.451451063,
,,465.9700012,14.47690487,465.9700012,137.8395386,397.269989,9.024181366,397.269989,406.7981567,397.269989,23.64400482,397.269989,2.493294716,
,,467.0100098,14.18319225,467.0100098,132.4719849,397.4200134,9.265805244,397.4200134,426.5286255,397.4200134,23.39136124,397.4200134,2.351195812,
,,468.0499878,13.49679375,468.0499878,128.6042633,397.5700073,9.672483444,397.5700073,449.925293,397.5700073,23.35101318,397.5700073,2.504560947,
,,468.9500122,13.28525352,468.9500122,124.7057648,397.7200012,9.897023201,397.7200012,462.8614807,397.7200012,23.9281311,397.7200012,2.573874474,
,,470,12.71121407,470,120.6365814,398.0299988,10.36998463,398.0299988,485.7270203,398.0299988,23.9585743,398.0299988,2.433918476,
,,471.0400085,12.35214806,471.0400085,115.8238297,398.1799927,10.40236855,398.1799927,497.3345032,398.1799927,24.26916313,398.1799927,2.443688869,
,,471.9400024,11.79874802,471.9400024,113.3264694,398.3299866,10.68976688,398.3299866,510.0774841,398.3299866,24.46872711,398.3299866,2.555014133,
,,472.980011,11.42957783,472.980011,110.2863083,398.6300049,11.62912655,398.6300049,546.5077515,398.6300049,25.63857651,398.6300049,2.732102394,
,,474.019989,11.15738964,474.019989,105.0105133,398.7799988,12.303936,398.7799988,565.1121216,398.7799988,25.77209854,398.7799988,2.810134172,
,,475.0700073,10.72698784,475.0700073,101.106163,398.9299927,12.59208679,398.9299927,577.336731,398.9299927,26.10299873,398.9299927,2.743954659,
,,475.9700012,10.52294254,475.9700012,98.31623077,399.2399902,13.26298714,399.2399902,594.0284424,399.2399902,26.98503685,399.2399902,2.818230629,
,,477.0100098,10.11254215,477.0100098,94.35270691,399.3900146,13.40769386,399.3900146,601.6199951,399.3900146,27.26935005,399.3900146,2.756388426,
,,478.0499878,9.814069748,478.0499878,91.493927,399.5400085,13.92351818,399.5400085,610.1650391,399.5400085,27.63925934,399.5400085,2.934463501,
,,478.9500122,9.117109299,478.9500122,87.04501343,399.8399963,15.20249081,399.8399963,635.4540405,399.8399963,28.97270393,399.8399963,3.103337288,
