50:50 1but:aceto + 5M H2O,,pyranine in 50:50 mol% 1but:acetonitrile + 5M H2O,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
410.1499939,0.1794310212,410.1499939,72.91970062,
410.4500122,0.180282101,410.4500122,79.15608215,
410.6000061,0.136092335,410.6000061,83.61248779,
410.75,0.1951231807,410.75,88.14653778,
411.0599976,0.1833366007,411.0599976,93.25410461,
411.2099915,0.1454683542,411.2099915,95.09324646,
411.3599854,0.1718223989,411.3599854,99.48166656,
411.6600037,0.2169049531,411.6600037,107.8128967,
411.8099976,0.1895159781,411.8099976,112.0086517,
411.9599915,0.1558978111,411.9599915,115.9586334,
412.269989,0.1931452155,412.269989,122.1195526,
412.4200134,0.2665380538,412.4200134,125.6749954,
412.5700073,0.198332727,412.5700073,127.8426819,
412.7200012,0.182084173,412.7200012,133.2004852,
413.0299988,0.1838247031,413.0299988,144.9304352,
413.1799927,0.1051271111,413.1799927,149.1173248,
413.3299866,0.1816621572,413.3299866,151.6789856,
413.6300049,0.2111162394,413.6300049,158.2076111,
413.7799988,0.2008927166,413.7799988,161.5367737,
413.9299927,0.1731412858,413.9299927,165.5987854,
414.2399902,0.1348253936,414.2399902,178.5162659,
414.3900146,0.1560997516,414.3900146,182.9388733,
414.5400085,0.209610641,414.5400085,187.4815521,
414.8399963,0.1372863501,414.8399963,194.5254211,
415,0.147746861,415,195.9819183,
415.1499939,0.1173542216,415.1499939,202.3311615,
415.4500122,0.179063201,415.4500122,216.1559753,
415.6000061,0.234443441,415.6000061,223.1588593,
415.75,0.1037451997,415.75,225.3213654,
416.0599976,0.1291369945,416.0599976,231.9788971,
416.2099915,0.2085980326,416.2099915,238.0032043,
416.3599854,0.1752694845,416.3599854,240.9241943,
416.6600037,0.2174466848,416.6600037,254.9072571,
416.8099976,0.07863644511,416.8099976,258.3074951,
416.9599915,0.1947444081,416.9599915,261.8900757,
417.269989,0.1809401512,417.269989,267.9066772,
417.4200134,0.2084728479,417.4200134,272.0329285,
417.5700073,0.152129814,417.5700073,276.923645,
417.7200012,0.1387601197,417.7200012,282.8886414,
418.0299988,0.2271795124,418.0299988,293.0560913,
418.1799927,0.1195366979,418.1799927,295.9371643,
418.3299866,0.1582108289,418.3299866,298.6382446,
418.6300049,0.1516051143,418.6300049,302.243927,
418.7799988,0.1710961461,418.7799988,308.7174377,
418.9299927,0.1550426036,418.9299927,311.0014038,
419.2399902,0.1660556793,419.2399902,320.1112366,
419.3900146,0.1269438267,419.3900146,324.6210327,
419.5400085,0.2695215046,419.5400085,325.7706909,
419.8399963,0.1136923432,419.8399963,332.1775818,
420,0.2365471721,420,335.5684814,
420.1499939,0.1415865421,420.1499939,339.0871277,
420.4500122,0.2295245081,420.4500122,349.6879578,
420.6000061,0.09902276844,420.6000061,350.9454651,
420.75,0.1706150323,420.75,353.1959839,
421.0599976,0.1955132931,421.0599976,356.3868408,
421.2099915,0.1238091066,421.2099915,359.3693542,
421.3599854,0.1736907959,421.3599854,363.0929565,
421.6600037,0.1001120061,421.6600037,370.0880432,
421.8099976,0.1627838463,421.8099976,370.3171692,
421.9599915,0.1910320222,421.9599915,372.0970459,
422.269989,0.1152568012,422.269989,376.231781,
422.4200134,0.1428021491,422.4200134,378.6036377,
