Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
406.9599915,1000,406.9599915,8.863111496,406.9599915,87.81344604,385.4500122,9.461483955,
408.0299988,1000,408.0299988,11.14775562,408.0299988,110.1522217,385.6000061,9.186861992,
408.9299927,1000,408.9299927,13.54143238,408.9299927,133.5381317,385.75,8.953619003,
410,1000,410,16.25201035,410,161.4522552,386.0599976,8.66904068,
411.0599976,1000,411.0599976,20.21684647,411.0599976,190.1709747,386.2099915,8.681702614,
411.9599915,1000,411.9599915,22.17282295,411.9599915,214.2578278,386.3599854,8.417154312,
413.0299988,1000,413.0299988,25.24200439,413.0299988,242.2361145,386.6600037,7.863735676,
413.9299927,1000,413.9299927,27.78322411,413.9299927,264.0737305,386.8099976,7.660959244,
415,1000,415,30.88396072,415,291.9982605,386.9599915,7.494869232,
416.0599976,1000,416.0599976,33.48456573,416.0599976,315.282959,387.269989,7.347485542,
416.9599915,1000,416.9599915,34.81505203,416.9599915,331.8327637,387.4200134,7.086277485,
418.0299988,1000,418.0299988,36.5464325,418.0299988,347.8524475,387.5700073,6.941384792,
418.9299927,1000,418.9299927,37.77078629,418.9299927,355.1693726,387.7200012,6.846654892,
420,1000,420,38.77910614,420,365.8580017,388.0299988,6.442166328,
421.0599976,1000,421.0599976,39.30174255,421.0599976,371.4949341,388.1799927,6.526640892,
421.9599915,1000,421.9599915,39.87239838,421.9599915,373.6659241,388.3299866,6.492385387,
423.0299988,1000,423.0299988,39.44053268,423.0299988,373.5794983,388.6300049,6.340746403,
423.9299927,1000,423.9299927,39.27034378,423.9299927,372.5244141,388.7799988,6.279276371,
425,1000,425,38.90945435,425,366.5700073,388.9299927,6.172187805,
426.0599976,1000,426.0599976,37.73608398,426.0599976,362.0382385,389.2399902,6.140172005,
426.9599915,1000,426.9599915,37.56386185,426.9599915,353.052124,389.3900146,6.114361763,
428.0299988,1000,428.0299988,36.9174118,428.0299988,346.5808105,389.5400085,6.025879383,
428.9299927,1000,428.9299927,35.94569016,428.9299927,341.1760254,389.8399963,5.917174339,
430,1000,430,35.52730942,430,334.9926758,390,5.926739216,
431.0599976,1000,431.0599976,34.79203415,431.0599976,330.0230408,390.1499939,5.933024406,
431.9599915,1000,431.9599915,33.87486267,431.9599915,323.4034119,390.4500122,5.866428375,
433.0299988,1000,433.0299988,33.65790939,433.0299988,318.6670837,390.6000061,5.860577583,
433.9299927,1000,433.9299927,33.60323334,433.9299927,315.0963745,390.75,5.965564728,
435,1000,435,33.14935303,435,312.15625,391.0599976,5.900902271,
436.0599976,1000,436.0599976,32.4483757,436.0599976,309.0336914,391.2099915,5.78249979,
436.9599915,1000,436.9599915,32.49531937,436.9599915,307.4362488,391.3599854,5.992349625,
438.0299988,1000,438.0299988,32.63996124,438.0299988,306.8878479,391.6600037,6.036433697,
438.9299927,1000,438.9299927,31.96306992,438.9299927,304.5878906,391.8099976,6.097681046,
440,1000,440,31.36750031,440,301.8528137,391.9599915,6.083631992,
441.0400085,1000,441.0400085,31.2089386,441.0400085,298.9370117,392.269989,6.132117748,
441.9400024,1000,441.9400024,30.83531761,441.9400024,294.5302734,392.4200134,6.238350868,
442.980011,1000,442.980011,30.90679169,442.980011,290.9211731,392.5700073,6.313597202,
444.019989,1000,444.019989,30.33711433,444.019989,286.8822327,392.7200012,6.300441742,
445.0700073,1000,445.0700073,29.76716805,445.0700073,279.4026489,393.0299988,6.265281677,
445.9700012,1000,445.9700012,28.99965286,445.9700012,274.9854126,393.1799927,6.500993252,
447.0100098,1000,447.0100098,28.49010277,447.0100098,269.9072876,393.3299866,6.48944664,
