Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
,,,,,,473.5799866,109.9601059,
,,,,,,473.730011,108.703537,
,,,,,,474.019989,108.5557404,
,,,,,,474.1700134,108.3246002,
,,,,,,474.3200073,107.310463,
,,,,,,474.6199951,105.8417969,
,,,,,,474.769989,104.6120911,
,,,,,,475.0700073,103.8317108,
,,,,,,475.2200012,102.9514008,
,,,,,,475.3699951,103.4447479,
,,,,,,475.6700134,102.1306,
,,,,,,475.8200073,101.3409195,
,,,,,,475.9700012,101.4670486,
,,,,,,476.2600098,99.89218903,
,,,,,,476.4100037,99.1558609,
,,,,,,476.5599976,98.74892426,
,,,,,,476.7099915,98.52179718,
,,,,,,477.0100098,96.85276031,
,,,,,,477.1600037,96.13317108,
,,,,,,477.4599915,95.08795929,
,,,,,,477.6099854,95.52668762,
,,,,,,477.7600098,94.70955658,
,,,,,,478.0499878,93.74494934,
,,,,,,478.2000122,92.96430206,
,,,,,,478.3500061,92.24011993,
,,,,,,478.6499939,90.23620605,
,,,,,,478.7999878,90.06561279,
,,,,,,478.9500122,89.99536896,
,,,,,,479.25,89.12162781,
,,,,,,479.3999939,88.08105469,
,,,,,,479.5499878,87.54434967,
,,,,,,479.8500061,86.76818085,
,,,,,,480,86.59568024,
,,,,,,480.1400146,86.01548767,
,,,,,,480.4400024,85.19377899,
,,,,,,480.5899963,84.54566193,
,,,,,,480.7399902,82.93894196,
,,,,,,481.0400085,82.52931213,
,,,,,,481.1900024,82.49920654,
,,,,,,481.3399963,81.77336121,
,,,,,,481.6400146,80.64069366,
,,,,,,481.7900085,79.95015717,
,,,,,,481.9400024,79.12371063,
,,,,,,482.230011,78.46918488,
,,,,,,482.3800049,78.31903076,
,,,,,,482.5299988,77.3078537,
,,,,,,482.8299866,76.47510529,
,,,,,,482.980011,76.19862366,
,,,,,,483.1300049,75.05184937,
,,,,,,483.4299927,74.04177856,
,,,,,,483.5799866,73.53743744,
,,,,,,483.730011,73.16770935,
,,,,,,484.019989,72.52747345,
,,,,,,484.1700134,71.27662659,
,,,,,,484.3200073,70.26208496,
,,,,,,484.6199951,69.43118286,
,,,,,,484.769989,69.39229584,
,,,,,,485.0700073,68.32765198,
,,,,,,485.2200012,68.27030945,
,,,,,,485.3699951,66.99886322,
,,,,,,485.6700134,66.59804535,
,,,,,,485.8200073,66.13710785,
,,,,,,485.9700012,66.00650024,
,,,,,,486.2600098,65.28469849,
,,,,,,486.4100037,64.37876129,
,,,,,,486.5599976,64.06291199,
,,,,,,486.7099915,63.54071045,
,,,,,,487.0100098,62.05134201,
,,,,,,487.1600037,62.00432968,
,,,,,,487.4599915,61.21027374,
,,,,,,487.6099854,61.14681625,
,,,,,,487.7600098,60.35191727,
,,,,,,488.0499878,59.10449219,
,,,,,,488.2000122,58.55226898,
,,,,,,488.3500061,58.46016312,
,,,,,,488.6499939,57.42576981,
,,,,,,488.7999878,57.15718842,
,,,,,,488.9500122,56.98231125,
,,,,,,489.25,55.80363846,
,,,,,,489.3999939,55.64347839,
,,,,,,489.5499878,55.2962532,
,,,,,,489.8500061,54.59544754,
,,,,,,490,53.93550873,
,,,,,,490.1400146,53.54209137,
,,,,,,490.4400024,52.52527618,
,,,,,,490.5899963,52.29779434,
,,,,,,490.7399902,52.1444664,
,,,,,,491.0400085,51.68158722,
,,,,,,491.1900024,51.76374435,
,,,,,,491.3399963,51.01130676,
,,,,,,491.6400146,49.83340836,
,,,,,,491.7900085,49.63759995,
,,,,,,491.9400024,49.50894928,
,,,,,,492.230011,48.86624527,
,,,,,,492.3800049,48.46351242,
,,,,,,492.5299988,48.43592834,
,,,,,,492.8299866,46.97933197,
,,,,,,492.980011,46.65368652,
,,,,,,493.1300049,46.54761505,
,,,,,,493.4299927,46.02556992,
,,,,,,493.5799866,45.69497681,
,,,,,,493.730011,45.11929321,
,,,,,,494.019989,44.28263855,
,,,,,,494.1700134,44.34474945,
,,,,,,494.3200073,43.95716095,
,,,,,,494.6199951,43.4967308,
,,,,,,494.769989,43.36587524,
,,,,,,495.0700073,42.4108696,
,,,,,,495.2200012,41.88283157,
,,,,,,495.3699951,41.71012115,
,,,,,,495.6700134,41.52286148,
,,,,,,495.8200073,41.38737106,
,,,,,,495.9700012,41.11460495,
,,,,,,496.2600098,40.22094345,
,,,,,,496.4100037,39.8461113,
,,,,,,496.5599976,39.64245224,
,,,,,,496.7099915,39.50674438,
,,,,,,497.0100098,39.14851379,
,,,,,,497.1600037,38.89364624,
,,,,,,497.4599915,38.08847809,
,,,,,,497.6099854,37.68843842,
,,,,,,497.7600098,37.33043289,
,,,,,,498.0499878,37.03059769,
,,,,,,498.2000122,36.90138245,
,,,,,,498.3500061,36.61634445,
,,,,,,498.6499939,36.00875854,
,,,,,,498.7999878,35.80817413,
,,,,,,498.9500122,35.69160843,
,,,,,,499.25,35.43489456,
,,,,,,499.3999939,35.3854866,
,,,,,,499.5499878,34.69662857,
,,,,,,499.8500061,34.17781067,
,,,,,,500,33.9776535,
,,,,,,500.1400146,33.94422531,
,,,,,,500.4400024,33.65345764,
,,,,,,500.5899963,33.22330856,
,,,,,,500.7399902,33.00514984,
,,,,,,501.0400085,32.45922852,
,,,,,,501.1900024,32.32597351,
,,,,,,501.3399963,31.95830727,
,,,,,,501.6400146,31.94098091,
,,,,,,501.7900085,31.60906601,
,,,,,,501.9400024,31.62748718,
,,,,,,502.230011,30.91732216,
,,,,,,502.3800049,30.67066765,
,,,,,,502.5299988,30.37863731,
,,,,,,502.8299866,30.24388504,
,,,,,,502.980011,29.61584663,
,,,,,,503.1300049,30.14806366,
,,,,,,503.4299927,29.26705551,
,,,,,,503.5799866,29.18930626,
,,,,,,503.730011,28.83285713,
,,,,,,504.019989,28.63716316,
,,,,,,504.1700134,28.32014084,
,,,,,,504.3200073,28.41530609,
,,,,,,504.6199951,27.56865692,
,,,,,,504.769989,27.4604454,
,,,,,,505.0700073,26.9797039,
,,,,,,505.2200012,26.95822525,
,,,,,,505.3699951,27.17556572,
,,,,,,505.6700134,26.76380539,
,,,,,,505.8200073,26.71162033,
,,,,,,505.9700012,26.4350872,
,,,,,,506.2600098,25.87410355,
,,,,,,506.4100037,25.88444328,
,,,,,,506.5599976,25.88274956,
,,,,,,506.7099915,25.62210655,
,,,,,,507.0100098,25.00896645,
,,,,,,507.1600037,25.07041359,
,,,,,,507.4599915,24.79224205,
,,,,,,507.6099854,24.53775406,
,,,,,,507.7600098,24.62794685,
,,,,,,508.0499878,23.8421154,
,,,,,,508.2000122,23.850811,
,,,,,,508.3500061,23.71953773,
,,,,,,508.6499939,23.37520027,
,,,,,,508.7999878,23.43400955,
,,,,,,508.9500122,23.26668549,
,,,,,,509.25,22.85087395,
,,,,,,509.3999939,22.71596336,
,,,,,,509.5499878,22.38574028,
,,,,,,509.8500061,22.0432682,
,,,,,,510,21.84405708,
,,,,,,510.1400146,22.22427177,
,,,,,,510.4400024,22.02137184,
,,,,,,510.5799866,21.59716797,
,,,,,,510.730011,21.3798542,
,,,,,,511.019989,21.13182068,
,,,,,,511.1700134,20.85412025,
,,,,,,511.4700012,20.73857498,
,,,,,,511.6099854,20.54861832,
,,,,,,511.7600098,20.54883194,
,,,,,,512.0499878,20.1363945,
,,,,,,512.2000122,19.9821949,
,,,,,,512.3499756,20.13220596,
,,,,,,512.6400146,19.631567,
,,,,,,512.789978,19.4642334,
,,,,,,512.9400024,19.43896866,
,,,,,,513.2299805,18.94504738,
,,,,,,513.3800049,19.21600533,
,,,,,,513.5200195,18.96679688,
,,,,,,513.8200073,19.01394463,
,,,,,,513.9699707,18.70347977,
,,,,,,514.2600098,18.51605988,
,,,,,,514.4099731,18.13677979,
,,,,,,514.5499878,18.22952843,
,,,,,,514.8499756,18.01630974,
,,,,,,515,17.62352753,
,,,,,,515.1400146,17.7771244,
,,,,,,515.4400024,17.37252617,
,,,,,,515.5800171,17.32272148,
,,,,,,515.7299805,17.36322594,
,,,,,,516.0200195,17.13376236,
,,,,,,516.1699829,16.82259941,
,,,,,,516.4699707,16.61473465,
,,,,,,516.6099854,16.54063034,
,,,,,,516.7600098,16.63869667,
,,,,,,517.0499878,16.29128075,
,,,,,,517.2000122,15.99967861,
,,,,,,517.3499756,16.07537079,
,,,,,,517.6400146,15.91317368,
,,,,,,517.789978,15.86712933,
,,,,,,517.9400024,15.71106148,
,,,,,,518.2299805,15.41475105,
,,,,,,518.3800049,15.30917454,
,,,,,,518.5200195,15.41711903,
,,,,,,518.8200073,14.79851913,
,,,,,,518.9699707,14.9462595,
,,,,,,519.2600098,14.72210884,
,,,,,,519.4099731,14.66867638,
,,,,,,519.5499878,14.61439323,
,,,,,,519.8499756,14.50096512,
,,,,,,520,14.23364162,
,,,,,,520.1400146,14.28798676,
,,,,,,520.4400024,13.94177151,
,,,,,,520.5900269,14.06488419,
,,,,,,520.7399902,13.98880386,
,,,,,,521.039978,13.75239277,
,,,,,,521.1900024,13.49165249,
,,,,,,521.3400269,13.49841881,
,,,,,,521.6400146,13.42241573,
,,,,,,521.789978,13.24523163,
,,,,,,521.9400024,13.38321877,
,,,,,,522.2299805,12.76347542,
,,,,,,522.3800049,12.67741585,
,,,,,,522.5300293,12.68659115,
,,,,,,522.8300171,12.6793766,
,,,,,,522.9799805,12.61225986,
,,,,,,523.1300049,12.49661636,
,,,,,,523.4299927,12.34607792,
,,,,,,523.5800171,12.21386528,
,,,,,,523.7299805,12.07731819,
,,,,,,524.0200195,12.01447487,
,,,,,,524.1699829,11.91694546,
,,,,,,524.3200073,11.90037537,
,,,,,,524.6199951,11.66762066,
,,,,,,524.7700195,11.65797806,
,,,,,,525.0700073,11.46693611,
,,,,,,525.2199707,11.5849905,
,,,,,,525.3699951,11.25662613,
,,,,,,525.5200195,11.19583797,
,,,,,,525.8200073,11.01423073,
,,,,,,525.9699707,10.9382782,
,,,,,,526.2600098,10.78994083,
,,,,,,526.4099731,10.73151398,
,,,,,,526.5599976,10.69282818,
,,,,,,526.710022,10.78420448,
,,,,,,527.0100098,10.28285789,
,,,,,,527.1599731,10.33973026,
,,,,,,527.460022,10.2835474,
,,,,,,527.6099854,10.26644897,
,,,,,,527.7600098,10.19675541,
,,,,,,528.0499878,10.02135277,
,,,,,,528.2000122,9.922904968,
,,,,,,528.3499756,9.887800217,
,,,,,,528.6500244,9.687586784,
,,,,,,528.7999878,9.721739769,
,,,,,,528.9500122,9.75767231,
,,,,,,529.25,9.517902374,
,,,,,,529.4000244,9.471982956,
,,,,,,529.5499878,9.387618065,
,,,,,,529.8499756,9.159505844,
,,,,,,530,9.240897179,
,,,,,,530.1400146,9.122424126,
,,,,,,530.4400024,9.185749054,
,,,,,,530.5800171,8.952309608,
,,,,,,530.7299805,8.94360733,
,,,,,,531.0200195,8.696684837,
,,,,,,531.1699829,8.844956398,
,,,,,,531.4699707,8.594557762,
,,,,,,531.6099854,8.565558434,
,,,,,,531.7600098,8.577863693,
,,,,,,532.0499878,8.358114243,
,,,,,,532.2000122,8.214396477,
,,,,,,532.3499756,8.184310913,
,,,,,,532.6400146,8.145287514,
,,,,,,532.789978,7.898062706,
,,,,,,532.9400024,8.001296997,
,,,,,,533.2299805,7.744307041,
,,,,,,533.3800049,7.787930965,
,,,,,,533.5200195,7.863414288,
,,,,,,533.8200073,7.776497841,
,,,,,,533.9699707,7.799286366,
,,,,,,534.2600098,7.60305357,
,,,,,,534.4099731,7.56417799,
,,,,,,534.5499878,7.373438358,
,,,,,,534.8499756,7.355091572,
,,,,,,535,7.342531681,
,,,,,,535.1400146,7.355831146,
,,,,,,535.4400024,7.10629797,
,,,,,,535.5800171,7.179004669,
,,,,,,535.7299805,7.121950626,
,,,,,,536.0200195,6.914314747,
,,,,,,536.1699829,6.931054115,
,,,,,,536.4699707,6.88443327,
,,,,,,536.6099854,6.779711723,
,,,,,,536.7600098,6.797775745,
,,,,,,537.0499878,6.70301342,
,,,,,,537.2000122,6.540812492,
,,,,,,537.3499756,6.61306572,
,,,,,,537.6400146,6.515820026,
,,,,,,537.789978,6.496812344,
,,,,,,537.9400024,6.43581152,
,,,,,,538.2299805,6.363323212,
,,,,,,538.3800049,6.273722649,
,,,,,,538.5200195,6.391734123,
,,,,,,538.8200073,6.211211205,
,,,,,,538.9699707,6.232474327,
,,,,,,539.2600098,6.111127377,
,,,,,,539.4099731,6.073143005,
,,,,,,539.5499878,6.021589279,
,,,,,,539.8499756,5.966143131,
,,,,,,540,5.817628384,
,,,,,,540.1400146,5.829507351,
,,,,,,540.4400024,5.880456924,
,,,,,,540.5800171,5.848816872,
,,,,,,540.7299805,5.743890762,
,,,,,,541.0200195,5.710166454,
,,,,,,541.1699829,5.657779217,
,,,,,,541.4699707,5.503652096,
,,,,,,541.6099854,5.579634666,
,,,,,,541.7600098,5.614962101,
,,,,,,542.0499878,5.487015247,
,,,,,,542.2000122,5.410821438,
,,,,,,542.3499756,5.333259583,
,,,,,,542.6400146,5.172953606,
,,,,,,542.789978,5.367349148,
,,,,,,542.9400024,5.443041801,
,,,,,,543.2299805,5.229431629,
,,,,,,543.3800049,5.20788002,
,,,,,,543.5200195,5.145827293,
,,,,,,543.8200073,5.156389713,
,,,,,,543.9699707,5.241800308,
,,,,,,544.2600098,5.07095623,
,,,,,,544.4099731,5.11698103,
,,,,,,544.5499878,5.045425892,
,,,,,,544.8499756,4.808940411,
,,,,,,545,4.864683151,
,,,,,,545.1400146,4.857844353,
,,,,,,545.4400024,4.832289219,
,,,,,,545.5800171,4.911550522,
,,,,,,545.7299805,4.749680042,
,,,,,,546.0200195,4.617900372,
,,,,,,546.1699829,4.631979465,
,,,,,,546.4699707,4.533296585,
,,,,,,546.6099854,4.590323448,
,,,,,,546.7600098,4.537238598,
,,,,,,547.0499878,4.471843719,
,,,,,,547.2000122,4.540118217,
,,,,,,547.3499756,4.366530895,
,,,,,,547.6400146,4.324463367,
,,,,,,547.789978,4.402481556,
,,,,,,547.9400024,4.349817753,
,,,,,,548.2299805,4.305143356,
,,,,,,548.3800049,4.234612465,
,,,,,,548.5200195,4.231948376,
,,,,,,548.8200073,4.266590118,
,,,,,,548.9699707,4.198755741,
,,,,,,549.2600098,4.173659801,
,,,,,,549.4099731,4.166429043,
,,,,,,549.5499878,4.074961185,
,,,,,,549.8499756,4.070771694,
,,,,,,550,4.006113529,
,,,,,,550.1400146,3.934858322,
,,,,,,550.4400024,3.972910404,
,,,,,,550.5800171,3.969683409,
,,,,,,550.7299805,3.933093548,
,,,,,,551.0200195,3.840358973,
,,,,,,551.1699829,3.857909203,
,,,,,,551.4699707,3.815933466,
,,,,,,551.6099854,3.695444107,
,,,,,,551.7600098,3.816088676,
,,,,,,552.0499878,3.52680254,
,,,,,,552.2000122,3.636669159,
,,,,,,552.3499756,3.702719688,
,,,,,,552.6400146,3.632618904,
,,,,,,552.789978,3.668734789,
,,,,,,552.9400024,3.5055058,
,,,,,,553.2299805,3.552428246,
,,,,,,553.3800049,3.461674929,
,,,,,,553.5200195,3.581840992,
,,,,,,553.8200073,3.516253948,
,,,,,,553.9699707,3.523407459,
,,,,,,554.2600098,3.396341801,
,,,,,,554.4099731,3.366129637,
,,,,,,554.5499878,3.353574038,
,,,,,,554.8499756,3.341417313,
,,,,,,555,3.427687883,
,,,,,,555.1400146,3.242662668,
,,,,,,555.4400024,3.184919596,
,,,,,,555.5800171,3.260725021,
,,,,,,555.7299805,3.17310977,
,,,,,,556.0200195,3.14509511,
,,,,,,556.1699829,3.152810335,
,,,,,,556.4699707,3.138529778,
,,,,,,556.6099854,3.134757757,
,,,,,,556.7600098,3.038364887,
,,,,,,557.0499878,3.020056725,
,,,,,,557.2000122,3.059643269,
,,,,,,557.3499756,2.929721117,
,,,,,,557.6400146,3.048166752,
,,,,,,557.789978,2.932371616,
,,,,,,557.9400024,2.951695681,
,,,,,,558.2299805,2.849421978,
,,,,,,558.3800049,2.899986744,
,,,,,,558.5200195,2.9042871,
,,,,,,558.8200073,2.795480728,
,,,,,,558.9699707,2.788837671,
,,,,,,559.2600098,2.730353594,
,,,,,,559.4099731,2.753127813,
,,,,,,559.5499878,2.768913031,
,,,,,,559.8499756,2.653184652,
,,,,,,560,2.744440794,
,,,,,,560.1400146,2.761555195,
,,,,,,560.4400024,2.652299166,
,,,,,,560.5800171,2.629031658,
,,,,,,560.7299805,2.605347633,
,,,,,,561.0200195,2.622321606,
,,,,,,561.1699829,2.579126596,
,,,,,,561.4699707,2.523914337,
,,,,,,561.6099854,2.513283253,
,,,,,,561.7600098,2.611629248,
,,,,,,562.0499878,2.585085154,
,,,,,,562.2000122,2.592173815,
,,,,,,562.3499756,2.554630995,
,,,,,,562.6400146,2.509259939,
,,,,,,562.789978,2.433150291,
,,,,,,562.9400024,2.430007219,
,,,,,,563.2299805,2.48315382,
,,,,,,563.3800049,2.429788351,
,,,,,,563.5200195,2.368786573,
,,,,,,563.8200073,2.410753965,
,,,,,,563.9699707,2.351890564,
,,,,,,564.2600098,2.335508347,
,,,,,,564.4099731,2.28397131,
,,,,,,564.5499878,2.250252247,
,,,,,,564.8499756,2.243312359,
,,,,,,565,2.265216351,
,,,,,,565.1400146,2.23085618,
,,,,,,565.4400024,2.214504719,
,,,,,,565.5800171,2.151793718,
,,,,,,565.7299805,2.139629364,
,,,,,,566.0200195,2.190537453,
,,,,,,566.1699829,2.154803514,
,,,,,,566.4699707,2.151356459,
,,,,,,566.6099854,2.141247034,
,,,,,,566.7600098,2.014001608,
,,,,,,567.0499878,2.064759493,
,,,,,,567.2000122,2.071526766,
,,,,,,567.3499756,2.03222847,
,,,,,,567.6400146,2.063525677,
,,,,,,567.789978,1.9863832,
,,,,,,567.9400024,2.042103291,
,,,,,,568.2299805,1.99915123,
,,,,,,568.3800049,1.913585663,
,,,,,,568.5200195,1.978735924,
,,,,,,568.8200073,1.936034203,
,,,,,,568.9699707,1.903573751,
,,,,,,569.2600098,1.950673103,
,,,,,,569.4099731,1.888424397,
,,,,,,569.5499878,1.860135436,
,,,,,,569.8499756,1.78058517,
,,,,,,570,1.842894435,
,,,,,,570.1400146,1.826465964,
,,,,,,570.4400024,1.854291558,
,,,,,,570.5800171,1.826434135,
,,,,,,570.7299805,1.802610517,
,,,,,,571.0200195,1.771215081,
,,,,,,571.1699829,1.717058539,
,,,,,,571.4699707,1.694468021,
,,,,,,571.6099854,1.803734779,
,,,,,,571.7600098,1.755625725,
,,,,,,572.0499878,1.720170856,
,,,,,,572.2000122,1.73346591,
,,,,,,572.3499756,1.606562853,
,,,,,,572.6400146,1.654609084,
,,,,,,572.789978,1.688549757,
,,,,,,572.9400024,1.656201959,
,,,,,,573.2299805,1.655106187,
,,,,,,573.3800049,1.676805377,
,,,,,,573.5200195,1.664336801,
,,,,,,573.8200073,1.712704301,
,,,,,,573.9699707,1.666117787,
,,,,,,574.2600098,1.560275435,
,,,,,,574.4099731,1.623950601,
,,,,,,574.5499878,1.572571635,
,,,,,,574.8499756,1.580394387,
,,,,,,575,1.594744682,
,,,,,,575.1400146,1.532042623,
,,,,,,575.4400024,1.52528882,
,,,,,,575.5800171,1.545515656,
,,,,,,575.7299805,1.448744178,
,,,,,,576.0200195,1.47293663,
,,,,,,576.1699829,1.583290577,
,,,,,,576.4699707,1.530255795,
,,,,,,576.6099854,1.546290874,
,,,,,,576.7600098,1.460291743,
,,,,,,577.0499878,1.441262484,
,,,,,,577.2000122,1.468579531,
,,,,,,577.3499756,1.41225338,
,,,,,,577.6400146,1.413995385,
,,,,,,577.789978,1.338223934,
,,,,,,577.9400024,1.450315595,
,,,,,,578.2299805,1.475148559,
,,,,,,578.3800049,1.388649106,
,,,,,,578.5200195,1.416967869,
,,,,,,578.8200073,1.38041234,
,,,,,,578.9699707,1.366331697,
,,,,,,579.2600098,1.406407595,
,,,,,,579.4099731,1.340301991,
,,,,,,579.5499878,1.330355048,
,,,,,,579.8499756,1.331489921,
,,,,,,580,1.320094943,
,,,,,,580.1400146,1.301077127,
,,,,,,580.4299927,1.246450543,
,,,,,,580.5700073,1.302942753,
,,,,,,580.7199707,1.288904667,
,,,,,,581.0100098,1.285743713,
,,,,,,581.1500244,1.254405022,
,,,,,,581.4400024,1.315383554,
,,,,,,581.5900269,1.270415306,
,,,,,,581.7299805,1.246605396,
,,,,,,582.0200195,1.261000037,
,,,,,,582.1699829,1.284305811,
,,,,,,582.460022,1.296726346,
,,,,,,582.5999756,1.117359757,
,,,,,,582.75,1.194473743,
,,,,,,583.039978,1.203022361,
,,,,,,583.1799927,1.212704301,
,,,,,,583.3300171,1.18433547,
,,,,,,583.6199951,1.120976686,
,,,,,,583.7600098,1.13957417,
,,,,,,584.0499878,1.149442315,
,,,,,,584.2000122,1.073802948,
,,,,,,584.3400269,1.246501923,
,,,,,,584.6300049,1.200883269,
,,,,,,584.7800293,1.193912506,
,,,,,,585.0700073,1.084255099,
,,,,,,585.210022,1.117729187,
,,,,,,585.3599854,1.107362032,
,,,,,,585.6500244,1.153529644,
,,,,,,585.789978,1.046189904,
,,,,,,585.9400024,1.079376221,
,,,,,,586.2299805,1.114358187,
,,,,,,586.3699951,1.113001704,
,,,,,,586.5200195,1.079833627,
,,,,,,586.8099976,1.151194215,
,,,,,,586.9500122,1.113408208,
,,,,,,587.2399902,0.9988396168,
,,,,,,587.3900146,1.033869028,
,,,,,,587.5300293,0.9924480915,
,,,,,,587.8200073,1.104474425,
,,,,,,587.9699707,1.072728515,
,,,,,,588.2600098,0.9240747094,
,,,,,,588.4000244,1.04483664,
,,,,,,588.5499878,1.016750693,
,,,,,,588.8400269,1.086951137,
,,,,,,588.9799805,0.9648029804,
,,,,,,589.1300049,1.023091555,
,,,,,,589.4199829,0.9313563108,
,,,,,,589.5599976,0.9507162571,
,,,,,,589.8499756,0.9928803444,
,,,,,,590,0.9582032561,
,,,,,,590.1400146,0.9565118551,
,,,,,,590.4299927,0.9514629841,
,,,,,,590.5700073,0.9667118788,
,,,,,,590.7199707,0.9323894978,
,,,,,,591.0100098,0.9649350047,
,,,,,,591.1500244,0.9740403891,
,,,,,,591.4400024,0.9373750091,
,,,,,,591.5900269,0.9007766843,
,,,,,,591.7299805,0.9035259485,
,,,,,,592.0200195,0.9437583685,
,,,,,,592.1699829,0.8911141157,
,,,,,,592.460022,0.9280810356,
,,,,,,592.5999756,0.9249881506,
,,,,,,592.75,0.9061789513,
,,,,,,593.039978,0.9366817474,
,,,,,,593.1799927,0.8349568844,
,,,,,,593.3300171,0.799041152,
,,,,,,593.6199951,0.8675182462,
,,,,,,593.7600098,0.8828992844,
,,,,,,594.0499878,0.8012918234,
,,,,,,594.2000122,0.8309928775,
,,,,,,594.3400269,0.8138052821,
,,,,,,594.6300049,0.8541247249,
,,,,,,594.7800293,0.827038765,
,,,,,,595.0700073,0.8203205466,
,,,,,,595.210022,0.8179183006,
,,,,,,595.3599854,0.7672477961,
,,,,,,595.6500244,0.7777788639,
,,,,,,595.789978,0.7762506008,
,,,,,,595.9400024,0.8178983927,
,,,,,,596.2299805,0.8434939384,
,,,,,,596.3699951,0.7679629922,
,,,,,,596.5200195,0.7896763682,
,,,,,,596.8099976,0.7529531121,
,,,,,,596.9500122,0.7631449103,
,,,,,,597.2399902,0.7964653969,
,,,,,,597.3900146,0.7910333276,
,,,,,,597.5300293,0.7441959977,
,,,,,,597.8200073,0.7525796294,
,,,,,,597.9699707,0.7582437992,
,,,,,,598.2600098,0.7503452301,
,,,,,,598.4000244,0.7289000154,
,,,,,,598.5499878,0.748860836,
,,,,,,598.8400269,0.7069060802,
,,,,,,598.9799805,0.7676448226,
,,,,,,599.1300049,0.7674205899,
,,,,,,599.4199829,0.6907278299,
,,,,,,599.5599976,0.6887404323,
,,,,,,599.8499756,0.731135726,
,,,,,,600,0.7299112082,

Pyranine in 1-butanol,
Pyranine in 1-butanol
Collection Time: 1/24/2020 2:14:41 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY16370002
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        380.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               366.00
Ex. Slit (nm)                     10
Em. Slit (nm)                     5
Scan rate (nm/min)                300.00
Data interval (nm)                1.0000
Averaging Time (s)                0.2000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 1/24/2020 2:13:19 PM
Method Modifications:
Ex. Slit Width (nm): Changed: 1/24/2020 2:14:21 PM, Old:5, New:10
Scan Control Changed: 1/24/2020 2:14:21 PM, Old:Medium, New:Manual
Ave. time (s): Changed: 1/24/2020 2:14:21 PM, Old:0.10000, New:0.20000
Excitation Wavelength Changed: 1/24/2020 2:14:21 PM, Old: 350.00, New: 366.00
Emission Wavelength Changed: 1/24/2020 2:14:21 PM, Old: 400.00, New: 380.00
End Method Modifications

Pyranine in 1-butanol,
Pyranine in 1-butanol
Collection Time: 1/24/2020 2:15:26 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY16370002
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        380.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               366.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     1.5
Scan rate (nm/min)                300.00
Data interval (nm)                1.0000
Averaging Time (s)                0.2000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 1/24/2020 2:13:19 PM
Method Modifications:
Ex. Slit Width (nm): Changed: 1/24/2020 2:14:21 PM, Old:5, New:10
Scan Control Changed: 1/24/2020 2:14:21 PM, Old:Medium, New:Manual
Ave. time (s): Changed: 1/24/2020 2:14:21 PM, Old:0.10000, New:0.20000
Excitation Wavelength Changed: 1/24/2020 2:14:21 PM, Old: 350.00, New: 366.00
Emission Wavelength Changed: 1/24/2020 2:14:21 PM, Old: 400.00, New: 380.00
Ex. Slit Width (nm): Changed: 1/24/2020 2:15:12 PM, Old:10, New:5
Em. Slit Width (nm): Changed: 1/24/2020 2:15:12 PM, Old:5, New:1.5
End Method Modifications

Pyranine in 1-butanol,
Pyranine in 1-butanol
Collection Time: 1/24/2020 2:16:37 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY16370002
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        380.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               366.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     2.5
Scan rate (nm/min)                300.00
Data interval (nm)                1.0000
Averaging Time (s)                0.2000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 1/24/2020 2:13:19 PM
Method Modifications:
Ex. Slit Width (nm): Changed: 1/24/2020 2:14:21 PM, Old:5, New:10
Scan Control Changed: 1/24/2020 2:14:21 PM, Old:Medium, New:Manual
Ave. time (s): Changed: 1/24/2020 2:14:21 PM, Old:0.10000, New:0.20000
Excitation Wavelength Changed: 1/24/2020 2:14:21 PM, Old: 350.00, New: 366.00
Emission Wavelength Changed: 1/24/2020 2:14:21 PM, Old: 400.00, New: 380.00
Ex. Slit Width (nm): Changed: 1/24/2020 2:15:12 PM, Old:10, New:5
