Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in acetonitrile,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
433.9299927,1000,433.9299927,33.60323334,433.9299927,315.0963745,390.75,5.965564728,390.75,33.03580093,
435,1000,435,33.14935303,435,312.15625,391.0599976,5.900902271,391.0599976,35.7621727,
436.0599976,1000,436.0599976,32.4483757,436.0599976,309.0336914,391.2099915,5.78249979,391.2099915,38.22666168,
436.9599915,1000,436.9599915,32.49531937,436.9599915,307.4362488,391.3599854,5.992349625,391.3599854,41.88817215,
438.0299988,1000,438.0299988,32.63996124,438.0299988,306.8878479,391.6600037,6.036433697,391.6600037,50.84666443,
438.9299927,1000,438.9299927,31.96306992,438.9299927,304.5878906,391.8099976,6.097681046,391.8099976,52.73813248,
440,1000,440,31.36750031,440,301.8528137,391.9599915,6.083631992,391.9599915,55.89099884,
441.0400085,1000,441.0400085,31.2089386,441.0400085,298.9370117,392.269989,6.132117748,392.269989,62.35325623,
441.9400024,1000,441.9400024,30.83531761,441.9400024,294.5302734,392.4200134,6.238350868,392.4200134,65.88988495,
442.980011,1000,442.980011,30.90679169,442.980011,290.9211731,392.5700073,6.313597202,392.5700073,72.72714996,
444.019989,1000,444.019989,30.33711433,444.019989,286.8822327,392.7200012,6.300441742,392.7200012,80.30922699,
445.0700073,1000,445.0700073,29.76716805,445.0700073,279.4026489,393.0299988,6.265281677,393.0299988,90.64745331,
445.9700012,1000,445.9700012,28.99965286,445.9700012,274.9854126,393.1799927,6.500993252,393.1799927,93.98621368,
447.0100098,1000,447.0100098,28.49010277,447.0100098,269.9072876,393.3299866,6.48944664,393.3299866,99.40131378,
448.0499878,1000,448.0499878,27.89147758,448.0499878,262.2956848,393.6300049,6.560709953,393.6300049,114.2951126,
448.9500122,1000,448.9500122,26.5669384,448.9500122,253.6828461,393.7799988,6.631859303,393.7799988,125.1074677,
450,1000,450,25.90973473,450,244.8249054,393.9299927,6.815750122,393.9299927,136.6051331,
451.0599976,1000,451.0599976,24.41830826,451.0599976,235.6751709,394.2399902,6.951180935,394.2399902,152.2511444,
451.9599915,1000,451.9599915,23.72399712,451.9599915,228.2381897,394.3900146,6.736727238,394.3900146,157.5164185,
,,453.0299988,23.48779106,453.0299988,220.8631439,394.5400085,6.987595081,394.5400085,164.1049347,
,,453.9299927,22.95586967,453.9299927,214.6210938,394.8399963,7.124140263,394.8399963,182.9728088,
,,455,21.66137695,455,205.3427429,395,7.240935802,395,195.6448669,
,,456.0599976,21.16147232,456.0599976,197.7223358,395.1499939,7.09680748,395.1499939,215.3248749,
,,456.9599915,20.27959061,456.9599915,189.4608154,395.4500122,7.416368961,395.4500122,238.2384949,
,,458.0299988,19.4156971,458.0299988,183.4806976,395.6000061,7.485569954,395.6000061,247.3353577,
,,458.9299927,18.61094856,458.9299927,176.7460632,395.75,7.58306694,395.75,258.1210632,
,,460,17.8196125,460,169.1925659,396.0599976,7.694871426,396.0599976,282.8056641,
,,461.0400085,16.94839859,461.0400085,163.3061829,396.2099915,7.839934826,396.2099915,300.5145874,
,,461.9400024,16.81656456,461.9400024,157.7410278,396.3599854,8.173851013,396.3599854,326.6641541,
,,462.980011,15.92434406,462.980011,151.2496796,396.6600037,8.334953308,396.6600037,353.6213989,
,,464.019989,15.59974003,464.019989,145.5115509,396.8099976,8.479232788,396.8099976,365.4830933,
,,465.0700073,14.90708733,465.0700073,141.2668457,396.9599915,8.720762253,396.9599915,378.6054382,
,,465.9700012,14.47690487,465.9700012,137.8395386,397.269989,9.024181366,397.269989,406.7981567,
,,467.0100098,14.18319225,467.0100098,132.4719849,397.4200134,9.265805244,397.4200134,426.5286255,
,,468.0499878,13.49679375,468.0499878,128.6042633,397.5700073,9.672483444,397.5700073,449.925293,
,,468.9500122,13.28525352,468.9500122,124.7057648,397.7200012,9.897023201,397.7200012,462.8614807,
,,470,12.71121407,470,120.6365814,398.0299988,10.36998463,398.0299988,485.7270203,
,,471.0400085,12.35214806,471.0400085,115.8238297,398.1799927,10.40236855,398.1799927,497.3345032,
,,471.9400024,11.79874802,471.9400024,113.3264694,398.3299866,10.68976688,398.3299866,510.0774841,
,,472.980011,11.42957783,472.980011,110.2863083,398.6300049,11.62912655,398.6300049,546.5077515,
,,474.019989,11.15738964,474.019989,105.0105133,398.7799988,12.303936,398.7799988,565.1121216,
,,475.0700073,10.72698784,475.0700073,101.106163,398.9299927,12.59208679,398.9299927,577.336731,
,,475.9700012,10.52294254,475.9700012,98.31623077,399.2399902,13.26298714,399.2399902,594.0284424,
,,477.0100098,10.11254215,477.0100098,94.35270691,399.3900146,13.40769386,399.3900146,601.6199951,
,,478.0499878,9.814069748,478.0499878,91.493927,399.5400085,13.92351818,399.5400085,610.1650391,
,,478.9500122,9.117109299,478.9500122,87.04501343,399.8399963,15.20249081,399.8399963,635.4540405,
,,480,8.693965912,480,84.66819,400,15.93444538,400,653.2070313,
,,481.0400085,8.495030403,481.0400085,81.12729645,400.1499939,16.57294655,400.1499939,661.5353394,
,,481.9400024,8.176837921,481.9400024,77.38141632,400.4500122,17.74213028,400.4500122,673.9840088,
,,482.980011,7.866193771,482.980011,73.820755,400.6000061,18.02898216,400.6000061,680.7217407,
,,484.019989,7.396054745,484.019989,70.78827667,400.75,18.74894524,400.75,685.5151978,
,,485.0700073,6.894598484,485.0700073,67.45392609,401.0599976,20.40539551,401.0599976,702.4307251,
