Date,Close/Last,Volume,Open,High,Low,WeekofYear,OpentoClose %,OpentoOpen(1day) %,IS today a friday
03/18/2020,$4.50,125954700,$4.75,$4.84,$4.10,12,-0.05263157895,-0.06496062992,0
03/17/2020,$5.01,104233500,$5.08,$5.14,$4.70,12,-0.01377952756,0.007936507937,0
03/16/2020,$5.01,110310900,$5.04,$5.22,$5,12,-0.005952380952,-0.1413969336,0
03/13/2020,$5.63,125375300,$5.87,$5.90,$5.12,11,-0.04088586031,0.09107806691,1
03/12/2020,$5.35,89453100,$5.38,$5.69,$5.20,11,-0.005576208178,-0.1122112211,0
03/11/2020,$5.90,98639100,$6.06,$6.11,$5.88,11,-0.02640264026,-0.03194888179,0
03/10/2020,$6.26,101873600,$6.26,$6.29,$5.80,11,0,0.04857621441,0
03/09/2020,$5.90,103901700,$5.97,$6.14,$5.87,11,-0.01172529313,-0.09545454545,0
03/06/2020,$6.49,109932200,$6.60,$6.68,$6.40,10,-0.01666666667,-0.05172413793,1
03/05/2020,$6.74,78070890,$6.96,$6.97,$6.71,10,-0.0316091954,-0.01833568406,0
03/04/2020,$7.08,70588070,$7.09,$7.09,$6.92,10,-0.001410437236,-0.02743484225,0
03/03/2020,$6.97,97457780,$7.29,$7.34,$6.89,10,-0.0438957476,0.0253164557,0
03/02/2020,$7.20,96766030,$7.11,$7.23,$6.88,10,0.01265822785,0.03947368421,0
02/28/2020,$6.96,116546700,$6.84,$6.96,$6.67,9,0.01754385965,-0.04067321178,1
02/27/2020,$6.97,118642400,$7.13,$7.28,$6.92,9,-0.02244039271,-0.02328767123,0
02/26/2020,$7.21,92524840,$7.30,$7.46,$7.21,9,-0.01232876712,-0.04947916667,0
02/25/2020,$7.23,108888300,$7.68,$7.68,$7.22,9,-0.05859375,-0.002597402597,0
02/24/2020,$7.57,110048200,$7.70,$7.72,$7.55,9,-0.01688311688,-0.03990024938,0
02/21/2020,$7.89,58326330,$8.02,$8.03,$7.89,8,-0.01620947631,0.0025,1
02/20/2020,$8.03,52318240,$8,$8.07,$7.99,8,0.00375,-0.007444168734,0
02/19/2020,$8,69668180,$8.06,$8.10,$8,8,-0.007444168734,-0.007389162562,0
02/18/2020,$8.06,65207480,$8.12,$8.15,$8.02,8,-0.007389162562,-0.01813784764,0
02/14/2020,$8.10,46359670,$8.27,$8.27,$8.08,7,-0.02055622733,0.00730816078,1
02/13/2020,$8.25,67648840,$8.21,$8.36,$8.21,7,0.004872107186,0.0085995086,0
02/12/2020,$8.24,111536800,$8.14,$8.33,$8.13,7,0.01228501229,0.004938271605,0
02/11/2020,$8.10,80164530,$8.10,$8.15,$8.08,7,0,-0.006134969325,0
02/10/2020,$8.06,71834910,$8.15,$8.15,$8.05,7,-0.01104294479,-0.00730816078,0
02/07/2020,$8.11,98256480,$8.21,$8.21,$8.02,6,-0.01218026797,-0.01911589008,1
02/06/2020,$8.25,68823370,$8.37,$8.38,$8.25,6,-0.01433691756,-0.004756242568,0
02/05/2020,$8.31,145792500,$8.41,$8.48,$8.26,6,-0.01189060642,-0.07378854626,0
02/04/2020,$9.18,86196420,$9.08,$9.24,$9.07,6,0.01101321586,0.02598870056,0
02/03/2020,$8.98,71432660,$8.85,$9.14,$8.85,6,0.01468926554,0.007972665148,0
01/31/2020,$8.82,59813730,$8.78,$8.84,$8.74,5,0.004555808656,-0.003405221339,1
01/30/2020,$8.84,42827800,$8.81,$8.84,$8.73,5,0.003405221339,-0.004519774011,0
01/29/2020,$8.86,59070710,$8.85,$8.96,$8.84,5,0.001129943503,-0.01006711409,0
01/28/2020,$8.97,85163400,$8.94,$9,$8.86,5,0.003355704698,0.006756756757,0
01/27/2020,$8.89,60769340,$8.88,$8.96,$8.78,5,0.001126126126,-0.02524698134,0
01/24/2020,$9,68100950,$9.11,$9.12,$8.96,4,-0.01207464325,-0.003282275711,1
01/23/2020,$9.14,75848670,$9.14,$9.16,$8.93,4,0,-0.008676789588,0
01/22/2020,$9.16,39914760,$9.22,$9.25,$9.15,4,-0.006507592191,0.007650273224,0
01/21/2020,$9.21,49556420,$9.15,$9.22,$9.10,4,0.006557377049,-0.004352557127,0
01/17/2020,$9.16,41644870,$9.19,$9.23,$9.13,3,-0.003264417845,-0.004333694475,1
01/16/2020,$9.17,44310390,$9.23,$9.28,$9.15,3,-0.006500541712,-0.004314994606,0
01/15/2020,$9.19,55923870,$9.27,$9.30,$9.18,3,-0.008629989213,0.005422993492,0
01/14/2020,$9.29,42936050,$9.22,$9.33,$9.21,3,0.007592190889,-0.003243243243,0
01/13/2020,$9.24,48562150,$9.25,$9.26,$9.11,3,-0.001081081081,-0.002157497303,0
01/10/2020,$9.25,39819240,$9.27,$9.36,$9.25,2,-0.002157497303,-0.003225806452,1
01/09/2020,$9.26,51905120,$9.30,$9.31,$9.18,2,-0.004301075269,0.00758396533,0
01/08/2020,$9.25,46003050,$9.23,$9.30,$9.17,2,0.002166847237,0.003260869565,0
01/07/2020,$9.25,45334550,$9.20,$9.25,$9.12,2,0.005434782609,0.01098901099,0
01/06/2020,$9.16,43380680,$9.10,$9.17,$9.06,2,0.006593406593,-0.02255639098,0
01/03/2020,$9.21,45059920,$9.31,$9.37,$9.15,1,-0.01074113856,0.00215285253,1
01/02/2020,$9.42,43432240,$9.29,$9.42,$9.19,1,0.01399354144,0.004324324324,0
12/31/2019,$9.30,32345380,$9.25,$9.33,$9.24,53,0.005405405405,-0.009635974304,0
12/30/2019,$9.25,36085420,$9.34,$9.35,$9.23,53,-0.009635974304,-0.01164021164,0
12/27/2019,$9.36,28273600,$9.45,$9.46,$9.35,52,-0.009523809524,-0.002111932418,1
12/26/2019,$9.45,28982310,$9.47,$9.49,$9.43,52,-0.002111932418,0.003177966102,0
12/24/2019,$9.47,11881600,$9.44,$9.49,$9.43,52,0.003177966102,#DIV/0!,0
